City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
624,Aykhal,RU,66.0,111.5,48.83,72,93,13.65,overcast clouds
625,Pacifica,US,37.6138,-122.4869,80.67,79,75,4.0,broken clouds
626,Hokitika,NZ,-42.7167,170.9667,50.86,89,100,7.99,overcast clouds
627,Spornoye,RU,50.8448,37.2913,62.62,63,88,2.89,overcast clouds
628,Mandal,IN,25.45,74.5667,86.86,50,56,12.77,broken clouds
629,Chunoyar,RU,57.4467,97.3217,47.46,60,99,9.51,light rain
630,Jijiang,CN,29.2906,106.2542,72.19,85,100,0.72,overcast clouds
631,Khatassy,RU,61.9036,129.6383,60.78,59,66,3.15,broken clouds
632,Altamira,BR,-3.2033,-52.2064,76.84,65,65,1.68,broken clouds
633,Lanja,IN,16.85,73.55,79.9,76,92,2.89,overcast clouds
634,Cananea,MX,30.95,-110.3,86.77,9,0,15.7,clear sky
635,Beloha,MG,-25.1667,45.05,62.46,96,1,5.53,clear sky
636,Ayan,RU,56.45,138.1667,38.37,78,84,6.11,broken clouds
637,Otacilio Costa,BR,-27.4831,-50.1219,51.78,87,13,0.81,few clouds
638,Khromtau,KZ,50.2503,58.4347,57.92,50,15,10.25,few clouds
639,Swift Current,CA,50.2834,-107.8014,61.81,42,9,22.15,clear sky
640,Rocha,UY,-34.4833,-54.3333,54.43,90,1,7.67,clear sky
641,Rosario,AR,-32.9468,-60.6393,64.08,75,0,1.99,clear sky
642,Rafaela,AR,-31.2503,-61.4867,63.05,62,68,3.0,broken clouds
643,Touho,NC,-20.7833,165.2333,73.04,62,64,1.07,broken clouds
644,Oriximina,BR,-1.7656,-55.8661,77.77,84,69,4.61,broken clouds
645,Pemangkat,ID,1.1667,108.9667,79.48,86,40,4.14,scattered clouds
646,Alyangula,AU,-13.8483,136.4192,79.77,61,27,17.85,scattered clouds
647,Kawalu,ID,-7.3817,108.2082,74.71,89,54,1.43,broken clouds
648,Nosy Varika,MG,-20.5833,48.5333,66.83,91,19,3.71,few clouds
649,Lima,PE,-12.0432,-77.0282,66.9,84,90,9.22,overcast clouds
650,Raudeberg,NO,61.9875,5.1352,48.87,88,4,12.17,clear sky
651,Kamenka,RU,51.3223,42.7678,56.66,76,47,6.8,scattered clouds
652,Mikhaylovka,RU,50.06,43.2379,57.7,69,57,7.81,broken clouds
653,Luena,AO,-11.7833,19.9167,50.83,50,2,3.87,clear sky
654,Dhing,IN,26.4667,92.4667,77.77,88,97,1.99,overcast clouds
655,Puerto Cabezas,NI,14.0351,-83.3888,79.38,82,55,10.18,broken clouds
656,Daimiel,ES,39.07,-3.615,65.98,76,100,10.02,overcast clouds
657,Pimenteiras,BR,-6.2453,-41.4192,73.38,54,3,4.68,clear sky
658,Kaya,BF,13.0917,-1.0844,95.54,28,99,14.03,overcast clouds
659,Chipinge,ZW,-20.1883,32.6236,50.14,46,0,2.15,clear sky
660,Harper,LR,4.375,-7.7169,79.16,85,41,6.98,scattered clouds
661,Collie,AU,-33.3667,116.15,48.97,57,16,4.36,few clouds
662,Menongue,AO,-14.6585,17.691,50.76,52,0,4.34,clear sky
663,Altamirano,MX,16.8833,-92.15,61.21,96,81,2.57,broken clouds
664,Pabianice,PL,51.6645,19.3547,50.23,92,0,3.44,clear sky
665,Lasa,IT,46.6166,10.7002,45.63,90,22,6.04,few clouds
666,San Juan,AR,-31.5375,-68.5364,66.72,21,99,3.4,overcast clouds
667,Krasnoselkup,RU,65.7,82.4667,29.14,67,100,21.52,overcast clouds
668,Yarada,IN,17.65,83.2667,87.64,60,33,1.86,scattered clouds
669,Buala,SB,-8.145,159.5921,77.29,91,100,6.78,light rain
670,Cairns,AU,-16.9167,145.7667,80.11,66,40,11.5,scattered clouds
671,Pakpattan,PK,30.341,73.3866,91.87,14,0,3.89,clear sky
672,Isla Mujeres,MX,21.2311,-86.731,86.16,74,10,8.81,clear sky
673,The Pas,CA,53.8251,-101.2541,58.37,41,79,12.41,broken clouds
674,Balmedie,GB,57.2505,-2.0616,50.23,93,54,2.3,broken clouds
675,Djibo,BF,14.1022,-1.6306,97.75,22,95,11.14,overcast clouds
676,Ust-Ishim,RU,57.6935,71.1665,42.75,84,88,5.21,overcast clouds
677,Puerto Rico,AR,-26.796,-55.024,64.0,77,74,2.64,broken clouds
678,Urusha,RU,54.05,122.9,51.49,54,100,4.97,overcast clouds
679,Berlevag,NO,70.8578,29.0864,35.98,82,97,23.62,overcast clouds
680,Nieuw Amsterdam,SR,5.8833,-55.0833,78.96,91,40,5.23,scattered clouds
681,Buraydah,SA,26.326,43.975,87.12,17,61,7.0,broken clouds
682,Spassk,RU,52.747,87.7545,48.07,97,100,9.19,light rain
683,Kaohsiung,TW,22.6163,120.3133,87.75,72,75,5.01,broken clouds
684,Medicine Hat,CA,50.0501,-110.6683,72.84,48,74,5.99,broken clouds
685,Oytal,KZ,42.9057,73.2697,64.31,56,72,6.96,broken clouds
686,Wakuya,JP,38.5333,141.1333,68.92,60,24,15.95,few clouds
687,Qingdao,CN,36.0986,120.3719,71.2,43,0,21.16,clear sky
688,Mangrol,IN,21.1167,70.1167,83.55,79,94,11.81,overcast clouds
689,Bismil,TR,37.8486,40.6658,67.73,29,15,1.36,few clouds
690,Nizhniy Baskunchak,RU,48.2198,46.8311,70.56,41,100,11.5,overcast clouds
691,Homer,US,59.6425,-151.5483,63.09,63,1,10.36,clear sky
692,Sierpc,PL,52.8568,19.6691,46.29,94,33,6.6,scattered clouds
693,Richards Bay,ZA,-28.783,32.0377,64.9,58,70,10.09,broken clouds
694,El Cobre,CU,20.0489,-75.9469,78.24,83,40,1.41,scattered clouds
