City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Port Hedland,AU,68.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
260,Yenotayevka,RU,68.74,overcast clouds,47.2456,47.0281,Hotel Voyage
261,Vila Franca Do Campo,PT,61.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
262,Esperance,AU,51.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
263,Boyolangu,ID,73.87,overcast clouds,-8.1181,111.8935,Yos ega cv
264,Naron,ES,58.01,broken clouds,43.5167,-8.1528,Marcial
265,Miles City,US,50.5,overcast clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
268,Maldonado,UY,59.23,scattered clouds,-34.6667,-54.9167,La Cimarrona
270,Srednekolymsk,RU,57.33,overcast clouds,67.45,153.6833,
271,Huilong,CN,69.04,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
275,Rio Cuarto,AR,62.37,few clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
280,Mao,ES,61.36,clear sky,39.8885,4.2658,ARTIEM Capri
284,Karratha,AU,71.24,moderate rain,-20.7377,116.8463,ibis Styles Karratha
285,Cajnice,BA,56.46,broken clouds,43.5575,19.0711,Hotel Čajniče
289,Constitucion,CL,57.76,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
290,Bourail,NC,70.84,clear sky,-21.5667,165.4833,Motel Allamanda
294,Doksy,CZ,54.12,overcast clouds,50.5647,14.6555,Hotel Bezděz
296,Charters Towers,AU,68.45,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
297,Quatre Cocos,MU,72.09,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
298,Chicama,PE,64.94,few clouds,-7.8447,-79.1469,Balihai Bungalows
300,Nouakchott,MR,69.73,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
302,Guerrero Negro,MX,72.19,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
303,Tokmak,UA,63.43,overcast clouds,47.2514,35.7058,Дом приезжих
304,Falavarjan,IR,54.61,clear sky,32.5553,51.5097,مشاور املاک قائم فلاورجان اله دادیان
306,Canakkale,TR,65.01,overcast clouds,40.0833,26.8333,
307,Dalvik,IS,53.53,overcast clouds,65.9702,-18.5286,Dalvík HI Hostel
309,Puerto Madryn,AR,52.74,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
310,Mikhaylovskoye,RU,72.43,broken clouds,51.8239,79.7172,"Terem"""
313,Shenjiamen,CN,67.91,overcast clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
314,Barcelona,ES,63.82,clear sky,41.3888,2.1590000000000003,Axel Hotel Barcelona
315,Dunedin,NZ,50.81,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
320,Ippy,CF,69.69,overcast clouds,6.2679,21.2247,
321,Mosalsk,RU,54.46,light rain,54.4881,34.9817,
322,Airai,TL,59.88,broken clouds,-8.9266,125.4092,Juvinal Martin
323,Etne,NO,54.97,overcast clouds,59.6648,5.9326,Fugl Fønix
324,Imamoglu,TR,70.83,clear sky,37.2651,35.6572,İSAK TATAR
325,Kenai,US,55.49,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
328,Santa Lucia,ES,60.12,broken clouds,27.9117,-15.5407,Las Tirajanas
329,Paita,PE,73.96,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
334,Kishtwar,IN,55.92,clear sky,33.3167,75.7667,Heritage Bagh by Himalayan Musk
335,Urumqi,CN,70.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
336,Amapa,BR,73.72,light rain,1.0,-52.0,
339,Parati,BR,70.7,broken clouds,-23.2178,-44.7131,Che Lagarto Paraty
340,Asau,RO,57.4,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
341,Souillac,MU,72.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
344,Zaozerne,UA,58.95,few clouds,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
345,Old Town,CZ,54.14,clear sky,50.086999999999996,14.4202,Botanique Hotel Prague
346,Kiama,AU,54.57,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
349,Trhove Sviny,CZ,53.01,overcast clouds,48.8423,14.6392,Borovanský mlýn
350,Monte Santo,BR,69.76,broken clouds,-10.4378,-39.3328,Pousada Pingo D'Água
351,Berdigestyakh,RU,55.08,overcast clouds,62.0989,126.6992,
352,Lauro Muller,BR,53.64,clear sky,-28.3928,-49.3967,Hotel Restaurante Chaminé
353,Chimore,BO,72.63,overcast clouds,-16.9833,-65.1333,Bichito
355,Abu Samrah,SY,72.25,clear sky,35.3029,37.1841,
356,Erzin,TR,74.12,clear sky,36.9559,36.2,Artemis Otel
357,Kalengwa,ZM,50.13,clear sky,-13.4659,25.0027,
359,Alamosa,US,66.18,few clouds,37.4695,-105.87,Best Western Alamosa Inn
363,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
364,Sabratah,LY,70.11,overcast clouds,32.7933,12.4885,تقاطع اثار صبراتة
368,Kysyl-Syr,RU,57.72,overcast clouds,63.8986,122.7617,
369,Iwaki,JP,66.78,light rain,37.05,140.8833,Toyoko Inn Iwaki Ekimae
370,Ust-Kuyga,RU,55.98,broken clouds,70.0167,135.6,
371,Bani Walid,LY,67.59,overcast clouds,31.7566,13.9942,منزل الصابر أبوفانة
372,Ribeira Grande,PT,59.95,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
373,Richards Bay,ZA,63.59,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
374,Hedaru,TZ,62.4,scattered clouds,-4.5,37.9,Hedaru Palace Hotel
378,Tarbes,FR,52.36,clear sky,43.25,0.1667,Quelle Vue (Gite Rural)
381,Vostok,RU,53.8,broken clouds,46.4856,135.8833,
382,Batagay-Alyta,RU,50.38,clear sky,67.8006,130.4114,
385,Mahanoro,MG,66.69,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
388,Xichang,CN,57.49,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
391,Pangoa,PE,70.95,overcast clouds,-12.1167,-73.0,
392,Fort-Shevchenko,KZ,67.17,overcast clouds,44.5086,50.263000000000005,Oasis hotel Bautino
393,Huarmey,PE,68.4,few clouds,-10.0681,-78.1522,Hotel Miramar
402,Port Hardy,CA,51.98,light rain,50.6996,-127.4199,Airport Inn
403,Gengenbach,DE,52.7,moderate rain,48.4,8.0167,Hotel und Restaurant Die Reichsstadt Gengenbach
404,Shimoda,JP,62.17,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
405,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
406,Winnemucca,US,71.65,clear sky,40.973,-117.7357,Winners Inn Casino
407,Zaysan,KZ,66.92,clear sky,47.4667,84.8667,Ерлан үй
410,Wanganui,NZ,53.74,clear sky,-39.9333,175.05,Aotea Motor Lodge
412,Valparaiso,CL,68.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
416,Mbeya,TZ,52.21,scattered clouds,-8.9,33.45,Leda Lodge
417,Parkes,AU,52.36,clear sky,-33.1333,148.1833,Station Motel
419,Zhangjiakou,CN,59.52,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
420,Asfi,MA,64.31,clear sky,32.2994,-9.2372,Hôtel Abda
427,Masumbwe,TZ,68.99,overcast clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
430,Seoul,KR,60.4,overcast clouds,37.5683,126.9778,Lotte Hotel Seoul
432,General Roca,AR,68.4,light rain,-39.0333,-67.5833,Hotel y Casino del Río General Roca
434,Kamaishi,JP,60.17,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
435,Fort Saint James,CA,53.08,overcast clouds,54.4333,-124.25,The View Hotel
438,Mareeba,AU,67.32,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
446,Nelson Bay,AU,56.1,clear sky,-32.7167,152.15,Mantra Nelson Bay
450,Kalmanka,RU,72.7,few clouds,52.8992,83.5433,
452,Isangel,VU,71.71,broken clouds,-19.55,169.2667,Tanna Lodge
453,Ust-Koksa,RU,55.06,clear sky,50.2696,85.6108,Uymonskaya Dolina
454,Nouadhibou,MR,66.18,clear sky,20.930999999999997,-17.0347,El Medina
455,Palaikastron,GR,70.21,clear sky,35.2,26.25,Marina Village
456,Erbaa,TR,54.39,clear sky,40.6689,36.5675,Erbaa Öğretmenevi
457,Anchorage,US,71.58,clear sky,61.2181,-149.9003,Hotel Captain Cook
458,Antofagasta,CL,60.08,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
459,Atambua,ID,73.35,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
460,Qaracala,AZ,63.68,broken clouds,39.8132,48.9523,
462,Hervey Bay,AU,65.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
466,Plakhtiyivka,UA,57.15,clear sky,46.1006,29.7217,
468,Tanta,EG,68.45,clear sky,30.7885,31.0019,Hesham & Fouad Pharma Group Pharmacies
477,Yablonovo,RU,64.26,scattered clouds,50.8523,37.3574,
489,Mount Isa,AU,60.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
495,Pingliang,CN,61.21,clear sky,35.5392,106.6861,North Gate Hostel
496,Mantua,IT,63.28,broken clouds,45.1667,10.7833,Hotel la Favorita
498,Liepaja,LV,50.05,broken clouds,56.5419,21.0367,Promenade Hotel
499,Alpena,US,61.12,broken clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
502,Bay Roberts,CA,50.5,overcast clouds,47.5999,-53.2648,Stonewall Inn
508,Ruteng,ID,64.13,broken clouds,-8.6136,120.4721,Hotel FX72 Ruteng
512,Boda,CF,70.02,moderate rain,4.3189,17.4695,
513,Agadir,MA,66.65,few clouds,30.4202,-9.5982,Iberostar Founty Beach
519,Newport,GB,51.69,few clouds,51.5877,-2.9984,ibis budget Newport
522,Bayan,CN,56.3,broken clouds,46.0833,127.4,Wanhao Inn
524,Sinazongwe,ZM,61.75,clear sky,-17.2614,27.4618,Lakeview Lodge
525,Japura,ID,73.81,broken clouds,-0.3167,102.35,Rumah mbah Jamah
526,Beloha,MG,63.19,clear sky,-25.1667,45.05,
527,Santa Maria,BR,54.7,clear sky,-29.6842,-53.8069,Hotel Morotin
528,Lyubar,UA,50.81,clear sky,49.9204,27.7592,Hotel Agro-technological Kompaniyiyi
530,Apatou,GF,74.82,moderate rain,5.155,-54.3472,Yoto quensha
532,Zmeinogorsk,RU,64.04,few clouds,51.1567,82.195,"Kompastur, Gostinitsa"
534,Luau,AO,56.77,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
536,Nyurba,RU,54.55,broken clouds,63.2842,118.3319,Gostinitsa Alrosa
537,Talcahuano,CL,56.88,overcast clouds,-36.7167,-73.1167,Hotel Terramar
540,Mount Barker,AU,52.66,few clouds,-35.0667,138.8667,A Suite Spot in the Hills
541,Mangai,CD,69.4,overcast clouds,-4.05,19.5333,
544,Pingzhuang,CN,58.17,clear sky,42.0372,119.2889,Haoke Guest House
547,Nome,US,66.27,clear sky,64.5011,-165.4064,Dredge 7 Inn
549,Manakara,MG,64.65,few clouds,-22.1333,48.0167,La Residence Manakara
551,Bow Island,CA,61.09,overcast clouds,49.8668,-111.3684,Pleasant View Lodge
552,Young,UY,60.22,broken clouds,-32.6833,-57.6333,Posada Gira el Sol
553,Medicine Hat,CA,61.21,overcast clouds,50.0501,-110.6683,Sun Dek Motel
554,Black Forest,US,70.7,broken clouds,39.0131,-104.7008,Datt Properties
556,Abay,KZ,55.78,scattered clouds,49.6311,72.8539,Guest House on Abaya 144
557,Poum,NC,72.5,broken clouds,-20.2333,164.0167,Gîte kajeon
563,Rabat,MA,70.03,overcast clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
564,Thunder Bay,CA,54.55,scattered clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
566,Saint Anthony,US,66.29,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
567,Cadca,SK,56.75,broken clouds,49.435,18.789,Hotel Lipa
569,Baneh,IR,54.91,clear sky,35.9975,45.8853,ساختمان زیتون
571,San Quintin,MX,66.63,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
572,Malavalli,IN,70.59,overcast clouds,12.3833,77.0833,Siddapaji Temple
573,Sitka,US,51.69,broken clouds,57.0531,-135.33,Westmark Sitka
574,Nayoro,JP,57.15,broken clouds,44.3506,142.4578,大雪荘
575,Minudasht,IR,65.86,overcast clouds,37.2289,55.3747,Esteghlal Hotel Minoudasht
